FlowID, PS, IPG, FS, IFG, t1, t2, t3, t4, t5, host_ifg
41, 361, 7566541, 6702, 18320004, 2, 2, 2, 3, 2,5669.468833333333
101, 399, 7242635, 9573, 16232259, 2, 2, 2, 3, 2,0.033
101, 367, 7211459, 7752, 18378843, 2, 2, 2, 3, 2,46899.072044444445
41, 369, 6813754, 9000, 18296933, 2, 2, 2, 3, 2,5669.468833333333
41, 334, 7751022, 7615, 20064920, 2, 2, 2, 2, 2,5669.468833333333
101, 355, 7226368, 8732, 19230099, 2, 2, 2, 3, 2,46899.00504444444
41, 324, 6801684, 7615, 20064920, 2, 2, 2, 3, 2,5669.468833333333
41, 282, 6273075, 7615, 20064920, 2, 2, 2, 3, 2,5669.468833333333
41, 301, 6878841, 9791, 19700017, 2, 2, 2, 3, 2,5669.468833333333
101, 306, 6622724, 9643, 17340594, 2, 2, 2, 3, 2,822.9208
101, 328, 6622724, 9643, 17340594, 2, 2, 2, 3, 2,822.9208
101, 291, 7568307, 6876, 18069207, 2, 2, 2, 2, 2,822.9538
101, 330, 7373366, 7557, 18069207, 2, 2, 2, 2, 2,822.9538
41, 309, 8316865, 7525, 19372458, 2, 2, 2, 3, 2,5669.468833333333
101, 342, 7815835, 8937, 17789307, 2, 2, 2, 3, 2,46898.871044444444
101, 279, 8077574, 8298, 16661533, 2, 2, 2, 3, 2,823.0208
101, 300, 7921614, 8298, 16661533, 2, 2, 2, 3, 2,823.0208
41, 252, 8047219, 6476, 18866789, 2, 2, 2, 3, 2,5669.468833333333
101, 288, 7808599, 6754, 18188687, 2, 2, 2, 3, 2,0.033
101, 274, 7906403, 5692, 14391740, 2, 2, 2, 3, 2,823.0878
101, 271, 8521194, 5692, 14391740, 2, 2, 2, 2, 2,823.0878
101, 271, 10101114, 7179, 16610978, 2, 2, 2, 2, 2,0.033
101, 263, 10252911, 7179, 16610978, 2, 2, 2, 3, 2,0.033
101, 249, 9860029, 5629, 19891853, 2, 2, 2, 2, 2,823.1538
101, 328, 9522291, 6812, 19072408, 2, 2, 2, 2, 2,823.1538
101, 321, 9796619, 6812, 19072408, 2, 2, 2, 3, 2,0.034
101, 370, 9767616, 7120, 18308325, 2, 2, 2, 3, 2,46898.67104444445
101, 341, 9608393, 7120, 18308325, 2, 2, 2, 2, 2,823.2208
101, 310, 9549421, 7518, 16325862, 2, 2, 2, 2, 2,823.2208
41, 290, 10408863, 5868, 18607503, 2, 2, 2, 3, 2,5669.468833333333
101, 303, 10534955, 5769, 17498927, 2, 2, 2, 2, 2,46898.60504444444
101, 291, 10325416, 5769, 17498927, 2, 2, 2, 3, 2,46898.60504444444
41, 261, 12136048, 5868, 18607503, 2, 2, 2, 3, 2,5669.468833333333
41, 293, 11386469, 5321, 14640554, 2, 2, 2, 3, 2,5669.468833333333
41, 270, 11952479, 5321, 14640554, 2, 2, 2, 3, 2,5669.468833333333
101, 289, 11322962, 5425, 13063245, 2, 2, 2, 3, 2,46898.538044444445
41, 272, 10237813, 4507, 16716713, 2, 2, 2, 3, 2,5669.468833333333
101, 323, 9572042, 4169, 14131605, 2, 2, 2, 3, 2,46898.504044444446
