Connected to BF Runtime Server as client 0
The target runs the program  RF
FlowID, PS, IPG, FS, IFG t1, t2, t3, t4, t5, host_ifg
101, 534, 6410717, 3531, 14380563, 2, 2, 2, 3, 2,868.4998
101, 542, 6280466, 3217, 13249446, 2, 2, 2, 3, 2,46853.35904444444
101, 569, 6146809, 2799, 14426529, 2, 2, 2, 2, 2,46853.326044444446
41, 567, 6706602, 2676, 14032967, 2, 2, 2, 3, 2,5669.468833333333
41, 496, 7495186, 2676, 14032967, 2, 2, 2, 2, 2,5669.468833333333
41, 491, 6897245, 2731, 13322956, 2, 2, 2, 3, 2,5669.468833333333
101, 568, 6611371, 2730, 13366654, 2, 2, 2, 3, 2,46853.25904444444
41, 526, 6988969, 2731, 13322956, 2, 2, 2, 3, 2,5669.468833333333
101, 565, 6678173, 4897, 16636113, 2, 2, 2, 3, 2,868.6328
41, 538, 6788559, 2076, 15982204, 2, 2, 2, 3, 2,5669.468833333333
101, 552, 6469248, 9621, 14239282, 2, 2, 2, 3, 2,46853.193044444444
41, 489, 7018429, 9047, 16588885, 2, 2, 2, 3, 2,5669.468833333333
101, 540, 6601437, 12065, 16520979, 2, 2, 2, 3, 2,868.6998
101, 495, 7852861, 10990, 15744319, 2, 3, 2, 2, 2,46853.159044444445
41, 561, 7374348, 11534, 15250482, 2, 2, 2, 2, 2,5669.468833333333
41, 518, 7394710, 11534, 15250482, 2, 2, 2, 2, 2,5669.468833333333
101, 474, 7178678, 11623, 13131851, 2, 2, 2, 2, 2,868.7668
101, 442, 7734787, 9690, 12461357, 2, 2, 2, 3, 2,46853.09204444444
101, 461, 7009158, 10677, 12226227, 2, 2, 2, 3, 2,46853.059044444446
101, 427, 6898526, 9725, 11699733, 2, 2, 2, 3, 2,46853.059044444446
101, 474, 6664420, 10296, 15707081, 2, 2, 2, 3, 2,46853.02604444444
101, 430, 7427081, 8998, 15501909, 2, 2, 2, 3, 2,46853.02604444444
101, 477, 7091191, 10895, 14842329, 2, 2, 2, 3, 2,868.8668
101, 426, 7050591, 9621, 13788472, 2, 2, 2, 3, 2,46852.99204444444
41, 382, 6704843, 9044, 15995131, 2, 2, 2, 3, 2,5669.468833333333
101, 409, 6959595, 11842, 15290284, 2, 2, 2, 3, 2,46852.95904444445
101, 397, 7090604, 10310, 15852830, 2, 2, 2, 3, 2,868.9328
101, 367, 7010909, 9393, 14989389, 2, 2, 2, 3, 2,46852.926044444444
101, 408, 7200619, 12320, 14371112, 2, 2, 2, 2, 2,46852.892044444445
101, 369, 7359455, 11245, 13976377, 2, 2, 2, 3, 2,46852.892044444445
41, 343, 7372471, 10901, 15097722, 2, 2, 2, 2, 2,5669.468833333333
101, 443, 7155086, 14227, 14233821, 2, 2, 2, 3, 2,46852.85904444444
101, 426, 6975804, 12224, 14233821, 2, 2, 2, 3, 2,46852.85904444444
41, 503, 6728927, 10152, 17760318, 2, 2, 2, 3, 2,5669.468833333333
41, 499, 6658817, 10152, 17760318, 2, 2, 2, 3, 2,5669.468833333333
101, 508, 6373876, 10084, 14651323, 2, 2, 2, 2, 2,46852.792044444446
41, 448, 7007700, 8775, 18636044, 2, 2, 2, 3, 2,5669.468833333333
41, 411, 6690333, 8775, 18636044, 2, 2, 2, 3, 2,5669.468833333333
101, 458, 6379260, 12364, 18942341, 2, 2, 2, 2, 2,46852.75904444444
101, 434, 7139702, 12364, 18942341, 2, 2, 2, 3, 2,46852.75904444444
41, 444, 7110276, 14038, 18807790, 2, 2, 2, 3, 2,5669.468833333333
41, 355, 6971817, 14038, 18807790, 2, 2, 2, 3, 2,5669.468833333333
101, 360, 6459495, 12925, 15447825, 2, 2, 2, 2, 2,869.1668
101, 365, 6478623, 10241, 15374554, 2, 2, 2, 2, 2,869.1998
101, 418, 6239431, 12103, 15014236, 2, 2, 2, 3, 2,869.1998
101, 399, 6789651, 13467, 13887380, 2, 2, 2, 3, 2,869.2338
101, 416, 6802395, 13467, 13887380, 2, 2, 2, 3, 2,869.2338
101, 399, 7948193, 13467, 13887380, 2, 2, 2, 3, 2,869.2338
101, 480, 8148153, 12829, 14027130, 2, 2, 2, 3, 2,46852.59204444444
41, 424, 7896231, 12058, 16302249, 2, 2, 2, 3, 2,5669.468833333333
101, 405, 7633736, 14111, 15243650, 2, 2, 2, 3, 2,46852.559044444446
101, 395, 7373384, 14111, 15243650, 2, 2, 2, 2, 2,46852.52504444445
101, 446, 7162483, 16107, 14723342, 2, 2, 2, 2, 2,46852.52504444445
41, 425, 7184162, 15614, 15819205, 2, 2, 2, 3, 2,5669.468833333333
101, 393, 6130748, 17253, 15534538, 2, 2, 2, 3, 2,46852.49204444444
